State,Latitude,Longitude,"GDP Nominal / PPP
in US$ / Int$ (RM)"
Kedah,6.155672,100.569649,"13,198 / 43,190 (60,466)"
Perak,4.69395,101.117577,"21,878 / 71,573 (100,202)"
Perlis,6.443589,100.216599,"1,600 / 5,236 (7,330)"
Penang,5.285153,100.456238,"29,889 / 97,779 (136,890)"
"Negeri Sembilan, A State In the Western Coast of Malaysia",2.879705,102.164253,"14,602 / 47,768 (66,875)"
Kelantan,5.145506,101.654137,"7,161 / 23,427 (32,798)"
Malacca,2.346257,102.253067,"12,472 / 40,800 (57,120)"
Sabah,5.420404,116.796783,"25,007 / 81,807 (114,530)"
Pahang,3.974341,102.438057,"18,072 / 59,122 (82,771)"
Selangor,3.509247,101.524803,"105,960 / 346,642 (485,299)"
Johor,1.937344,103.366585,"40,914 / 133,846 (187,385)"
,,,
,,,
